City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Puri,IN,19.8,85.85,82.92,76,8,11.63,clear sky
231,Cairns,AU,-16.9167,145.7667,74.07,96,9,0.0,clear sky
232,Shimoda,JP,34.6667,138.95,67.1,80,24,0.92,few clouds
233,Moron,AR,-34.6534,-58.6198,63.01,34,96,7.0,overcast clouds
234,Kalabo,ZM,-14.97,22.6814,77.9,43,100,7.14,overcast clouds
235,Caravelas,BR,-17.7125,-39.2481,80.08,72,5,14.32,clear sky
236,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,27,40,23.02,scattered clouds
237,Micheweni,TZ,-4.9667,39.8333,75.88,77,73,9.4,broken clouds
238,Port Hardy,CA,50.6996,-127.4199,51.98,71,40,6.91,light rain
239,Grindavik,IS,63.8424,-22.4338,48.15,81,0,24.16,clear sky
240,Kulhudhuffushi,MV,6.6221,73.07,82.11,77,58,16.2,broken clouds
241,Guadalupe Y Calvo,MX,26.1,-106.9667,57.67,80,100,4.63,overcast clouds
242,Ahuimanu,US,21.4447,-157.8378,79.45,78,75,9.22,light rain
243,Thompson,CA,55.7435,-97.8558,60.96,63,75,2.3,broken clouds
244,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
245,Asau,RO,46.4333,26.4,51.76,87,0,2.06,clear sky
246,Coihaique,CL,-45.5752,-72.0662,53.55,54,75,5.75,light intensity shower rain
247,Padang,ID,-0.9492,100.3543,77.32,88,97,3.04,overcast clouds
248,Castro,BR,-24.7911,-50.0119,63.48,98,100,1.23,light rain
249,Mancio Lima,BR,-7.6142,-72.8958,95.07,49,75,3.44,broken clouds
250,Khuzdar,PK,27.7384,66.6434,76.96,22,9,6.98,clear sky
251,Berlevag,NO,70.8578,29.0864,51.8,62,0,34.52,clear sky
252,Awjilah,LY,29.1081,21.2869,75.81,41,0,8.01,clear sky
253,College,US,64.8569,-147.8028,35.58,96,75,4.61,light snow
254,Ivanava,BY,52.1451,25.5365,50.09,67,34,11.68,scattered clouds
255,Sao Francisco Do Sul,BR,-26.2433,-48.6381,72.12,94,75,9.22,moderate rain
256,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
257,Mitsamiouli,KM,-11.3847,43.2844,79.09,69,20,18.41,few clouds
258,Jega,NG,12.2175,4.3792,86.49,48,5,7.14,clear sky
259,Cua,VE,10.1589,-66.8858,89.22,82,74,1.95,broken clouds
260,Hamilton,US,39.1834,-84.5333,72.25,94,90,9.22,light rain
261,Yuancheng,CN,36.652,107.7896,49.08,78,100,20.96,light rain
262,Prince Rupert,CA,54.3161,-130.3201,47.89,77,75,8.05,light rain
263,Geraldton,AU,-28.7667,114.6,46.81,93,0,0.0,clear sky
264,Wladyslawowo,PL,54.7909,18.4009,60.94,67,100,20.07,overcast clouds
265,Ancud,CL,-41.8697,-73.8203,51.33,66,99,11.41,overcast clouds
266,Sorland,NO,67.667,12.6934,53.67,83,100,19.86,moderate rain
267,Fonte Boa,BR,-2.4959,-66.2662,86.11,65,97,4.12,overcast clouds
268,Krasnoselkup,RU,65.7,82.4667,21.49,89,44,9.46,scattered clouds
269,Ibra,OM,22.6906,58.5334,77.56,80,100,16.4,overcast clouds
270,Belmonte,BR,-15.8631,-38.8828,82.9,73,8,13.27,clear sky
271,Sobolevo,RU,54.4299,31.8996,44.96,79,100,6.69,light rain
272,Rocha,UY,-34.4833,-54.3333,56.7,54,16,14.76,few clouds
273,La Ronge,CA,55.1001,-105.2842,61.02,41,75,5.75,broken clouds
274,Sawtell,AU,-30.3833,153.1,60.82,84,68,5.75,broken clouds
275,Zyryanka,RU,65.75,150.85,22.75,96,86,7.78,overcast clouds
276,Marawi,PH,7.9986,124.2928,66.65,98,100,2.98,overcast clouds
277,Biloela,AU,-24.4167,150.5,64.78,90,0,5.39,clear sky
278,Abu Samrah,SY,35.3029,37.1841,68.77,69,0,14.61,clear sky
279,Leh,IN,34.1667,77.5833,51.58,40,6,6.85,clear sky
280,Furtwangen,DE,48.05,8.2,56.97,81,100,6.29,overcast clouds
281,Cuiluan,CN,47.72,128.648,36.07,97,19,3.11,few clouds
282,Suixi,CN,33.8907,116.7747,76.46,78,100,4.94,overcast clouds
283,Shahreza,IR,32.0339,51.8794,63.32,33,0,4.47,clear sky
284,Kapit,MY,2.0167,112.9333,73.72,99,100,1.19,overcast clouds
285,Songea,TZ,-10.6833,35.65,68.9,46,5,4.63,clear sky
286,Tiksi,RU,71.6872,128.8694,24.51,90,96,10.25,overcast clouds
287,Te Anau,NZ,-45.4167,167.7167,45.18,98,100,3.4,overcast clouds
288,Kasongo,CD,-4.45,26.6667,73.94,75,100,3.8,light rain
289,Manyana,BW,-23.4,21.7167,59.63,18,0,8.46,clear sky
290,Ugoofaaru,MV,5.6667,73.0,82.18,77,10,17.18,clear sky
291,Puerto Ayacucho,VE,5.6639,-67.6236,90.52,57,50,4.34,scattered clouds
292,Tanggu,CN,39.0211,117.6469,64.36,80,100,19.98,light rain
293,Kiama,AU,-34.6833,150.8667,62.38,79,98,4.88,overcast clouds
294,Yar-Sale,RU,66.8333,70.8333,30.29,76,100,6.6,overcast clouds
295,Bacolod,PH,10.6667,122.95,77.22,90,100,9.26,light rain
296,Wajir,KE,1.7471,40.0573,85.77,45,56,20.6,broken clouds
297,Nara,JP,34.6851,135.8049,70.97,71,2,3.0,clear sky
298,Gayeri,BF,12.6497,0.4931,88.05,38,5,5.48,clear sky
299,Isiro,CD,2.7739,27.616,67.14,99,93,2.24,overcast clouds
300,Biltine,TD,14.5333,20.9167,90.59,30,10,4.32,clear sky
301,Wamba,NG,8.9333,8.6,75.87,86,12,0.36,few clouds
302,Challans,FR,46.8436,-1.8749,58.96,73,2,9.62,clear sky
303,Pucallpa,PE,-8.3791,-74.5539,93.24,52,40,5.75,scattered clouds
304,Orthez,FR,43.4884,-0.7724,57.47,90,100,5.99,overcast clouds
305,Dolinsk,RU,47.35,142.8,44.46,95,88,4.16,overcast clouds
306,Bintulu,MY,3.1667,113.0333,75.61,100,40,0.0,scattered clouds
307,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,83,99,4.23,overcast clouds
308,Sao Domingos,BR,-13.3983,-46.3183,99.88,15,47,2.62,scattered clouds
309,Kangaatsiaq,GL,68.3065,-53.4641,32.49,66,99,8.1,overcast clouds
310,Najran,SA,17.4924,44.1277,84.85,30,84,3.18,broken clouds
311,Chicama,PE,-7.8447,-79.1469,63.14,59,28,11.88,scattered clouds
312,Chumikan,RU,54.7183,135.315,36.28,71,98,10.67,overcast clouds
313,Vieques,PR,18.425,-65.8329,89.64,55,75,17.27,haze
314,Itagiba,BR,-14.2836,-39.8428,86.99,43,79,8.79,broken clouds
315,Turukhansk,RU,65.8167,87.9833,30.13,98,99,4.12,overcast clouds
316,Clyde River,CA,70.4692,-68.5914,39.43,87,90,2.3,overcast clouds
317,Haapiti,PF,-17.5667,-149.8667,80.33,73,11,9.44,few clouds
318,Moose Factory,CA,51.2585,-80.6094,60.8,67,1,10.36,clear sky
319,Burmakino,RU,57.4166,40.2369,42.37,93,90,2.24,overcast clouds
320,Emerald,AU,-23.5333,148.1667,64.54,88,0,4.61,light rain
321,Coronado,US,32.6859,-117.1831,97.7,31,75,3.44,broken clouds
322,Ossora,RU,59.2353,163.0719,42.87,96,100,33.15,moderate rain
323,Ust-Kuyga,RU,70.0167,135.6,19.98,95,96,4.68,overcast clouds
324,Belaya Gora,RU,68.5333,146.4167,20.03,87,90,4.38,overcast clouds
325,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,71,40,4.61,scattered clouds
326,Samarai,PG,-10.6167,150.6667,79.77,82,35,5.26,scattered clouds
327,Tazovskiy,RU,67.4667,78.7,33.4,84,100,8.59,overcast clouds
328,Malakal,SS,9.5334,31.6605,74.34,80,10,3.74,clear sky
329,Jawala Mukhi,IN,31.8833,76.3167,72.37,77,0,5.1,clear sky
330,Jiangyou,CN,31.7667,104.7167,72.39,93,100,5.19,light rain
331,Fagernes,NO,60.9858,9.2324,48.92,93,100,5.99,light rain
332,Tibati,CM,6.4667,12.6333,68.59,89,6,3.33,light rain
333,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,clear sky
334,Scarborough,GB,54.2797,-0.4044,55.51,81,0,3.0,clear sky
335,Batagay-Alyta,RU,67.8006,130.4114,16.47,89,34,2.37,scattered clouds
336,Marienburg,PL,54.0359,19.0266,63.95,63,86,15.01,overcast clouds
337,Vanimo,PG,-2.6741,141.3028,76.1,86,95,3.2,overcast clouds
338,Strelka,RU,58.0728,93.0344,28.22,92,77,2.44,broken clouds
339,Hasaki,JP,35.7333,140.8333,64.29,81,0,8.66,clear sky
340,Tocache,PE,-8.1842,-76.5125,90.99,49,63,3.2,broken clouds
341,Finnsnes,NO,69.2296,17.9811,54.21,85,100,8.55,overcast clouds
342,Teya,RU,60.3778,92.6267,33.21,98,100,2.68,light snow
343,Honiara,SB,-9.4333,159.95,77.34,89,33,2.91,scattered clouds
344,Duldurga,RU,50.6761,113.5931,34.59,83,100,4.83,overcast clouds
